Agoncillo, 180.0, 240.0
Alfonso, 135.0, 165.0
Alitagtag, 260.0, 290.0
Amadeo, 105.0, 120.0
Balete, 350.0, 10.0
Calaca, 160.0, 210.0
Calamba, 55.0, 85.0
Cuenca, 285.0, 315.0
Indang, 115.0, 135.0
Laurel, 120.0, 180.0
Lemery, 170.0, 240.0
Lipa, 310.0, 10.0
Malvar, 355.0, 20.0
Mataasnakahoy, 330.0, 0.0
Mendez, 120.0, 140.0
San Jose, 290.0, 320.0
San Luis, 240.0, 270.0
San Nicolas, 0.0, 359.9
Santa Teresita, 250.0, 270.0
Silang, 80.0, 110.0
Taal, 230.0, 260.0
Tagaytay, 70.0, 150.0
Talisay, 60.0, 120.0
Tanauan, 20.0, 60.0
